12.34556,12.31448,12.25991,12.24178,12.28569,12.37565,12.49203,12.61292,12.64048,12.69125,
12.74548,12.81656,12.92648,13.07463,13.25793,13.45562,13.67974,13.91477,14.01488,14.15351,
14.34028,14.55465,14.78893,15.03606,15.29116,15.55200,15.82180,16.10063,16.37739,16.65260,
16.92752,17.20452,17.48216,17.76853,18.05930,18.35560,18.64854,18.81962,19.02913,19.27358,
19.53503,19.81011,20.11109,20.41667,20.73733,21.06985,21.39821,21.73461,22.07906,22.42312,
22.77016,
12.25991,12.18707,12.13107,12.11294,12.15684,12.24214,12.35180,12.44572,12.46587,12.51293,
12.55152,12.61546,12.70974,12.84138,13.00846,13.19474,13.40510,13.52699,13.60544,13.73840,
13.91716,14.12712,14.35617,14.59734,14.84683,15.10744,15.37675,15.65054,15.92290,16.19184,
16.46200,16.73586,17.00917,17.28993,17.57584,17.86682,18.14855,18.31944,18.52855,18.77283,
19.03419,19.28959,19.57054,19.86009,20.16781,20.48251,20.79251,21.11702,21.44881,21.78073,
22.12298,
12.28569,12.21285,12.15684,12.13872,12.18262,12.26773,12.37661,12.41866,12.43118,12.39943,
12.37005,12.36528,12.40422,12.49247,12.61912,12.76428,12.87993,12.93146,12.99876,13.12641,
13.29886,13.50276,13.72473,13.95810,14.20616,14.46653,14.73236,15.00326,15.27454,15.53926,
15.80374,16.07258,16.34348,16.62353,16.90944,17.20042,17.45619,17.57997,17.75526,17.95641,
18.16761,18.41742,18.69795,18.98241,19.28458,19.59398,19.90147,20.22567,20.55709,20.88818,
21.23020,
12.49203,12.40950,12.35180,12.33341,12.37661,12.44602,12.35595,12.25431,12.12589,12.01982,
11.95295,11.94242,11.97170,12.03934,12.11933,12.20758,12.31120,12.33882,12.39071,12.51147,
12.67536,12.87144,13.08816,13.32098,13.56904,13.82941,14.09249,14.35718,14.62304,14.88601,
15.15049,15.41933,15.69023,15.97015,16.25300,16.50299,16.57595,16.69907,16.86860,17.06270,
17.27160,17.52029,17.79948,18.08188,18.38399,18.69339,19.00089,19.32508,19.65650,19.98759,
20.32961,
12.64048,12.53965,12.46587,12.43674,12.43118,12.30523,12.12589,11.94958,11.80164,11.69279,
11.62256,11.58785,11.58528,11.61579,11.64887,11.72710,11.78262,11.76427,11.80850,11.92500,
12.08691,12.28019,12.49359,12.72488,12.97293,13.22922,13.49087,13.75556,14.02143,14.28197,
14.54189,14.80177,15.06106,15.26010,15.45402,15.62370,15.69542,15.81760,15.98635,16.18044,
16.38867,16.63736,16.91652,17.19653,17.49864,17.80800,18.11469,18.43889,18.76966,19.09974,
19.44157,
12.74548,12.63445,12.55152,12.48788,12.37005,12.15758,11.95295,11.77386,11.62256,11.49203,
11.39373,11.32668,11.29046,11.27639,11.30338,11.35864,11.28601,11.25968,11.30377,11.41785,
11.57702,11.76981,11.98321,12.21450,12.46255,12.71876,12.97776,13.23527,13.47571,13.70361,
13.91906,14.07943,14.24990,14.42962,14.61854,14.78773,14.85939,14.98105,15.14870,15.34166,
15.54927,15.79796,16.07528,16.35450,16.65661,16.96513,17.27077,17.59496,17.92530,18.25464,
18.59637,
12.92648,12.80651,12.70974,12.61220,12.40422,12.18549,11.97170,11.77248,11.58528,11.42364,
11.29046,11.18879,11.13051,11.10558,11.10280,10.98872,10.91268,10.88635,10.93045,11.04389,
11.20171,11.39317,11.59677,11.78673,11.98560,12.19388,12.40873,12.62577,12.84214,13.03390,
13.18308,13.34313,13.51073,13.68673,13.87051,14.02155,14.08642,14.20075,14.35944,14.54346,
14.74940,14.99746,15.27080,15.54806,15.84695,16.15055,16.45618,16.77895,17.10688,17.43444,
17.77486,
13.25793,13.12264,13.00846,12.84308,12.61912,12.37390,12.11933,11.87426,11.64887,11.45509,
11.30338,11.19657,11.10280,11.00677,10.81808,10.64433,10.52319,10.47245,10.51293,10.61064,
10.74636,10.90019,11.06747,11.25158,11.45045,11.65832,11.87055,12.08362,12.26668,12.40079,
12.54362,12.69287,12.84886,13.01303,13.18512,13.32134,13.37929,13.48996,13.64284,13.82409,
14.03003,14.27809,14.55078,14.82613,15.12412,15.42684,15.73248,16.05486,16.38252,16.70962,
17.05004,
13.67974,13.53595,13.40510,13.17971,12.87993,12.58782,12.31120,12.05025,11.78262,11.52194,
11.28600,11.07894,10.91268,10.75071,10.52320,10.33797,10.21338,10.16264,10.20271,10.30030,
10.42983,10.58295,10.75024,10.93434,11.13321,11.34108,11.55186,11.72847,11.85098,11.97819,
12.11044,12.24778,12.39253,12.54532,12.71054,12.82453,12.87384,12.97735,13.12536,13.30512,
13.51087,13.75472,14.01902,14.28713,14.58018,14.88092,15.18363,15.50369,15.82832,16.13710,
16.47420,
14.01488,13.85508,13.60544,13.30636,12.99876,12.69020,12.39071,12.09220,11.80850,11.54356,
11.30377,11.09671,10.93044,10.74110,10.51293,10.32730,10.20271,10.15196,10.19204,10.28962,
